,City,Country,Department,EndDate,Firstname,FiscalYear,ID,Institution,Lastname,Middlename,NamePrefix,NameSuffix,PostalCode,StartDate,State,Title
1974,San Marcos,USA,{},1993-02-02,Lydia,1993,2104,Texas State University - San Marcos,Blanchard,A.,Dr.,{},78666-4684,1993-02-02,TX,Department of English
1975,San Marcos,USA,{},1995-02-02,Lydia,1995,2183,Texas State University - San Marcos,Blanchard,A.,Dr.,{},78666-4684,1995-02-02,TX,Department of English
1976,Chicopee,USA,{},1994-12-16,Cynthia,1995,5521,College of Our Lady of the Elms,Bland,{},{},{},01013-2839,1994-12-16,MA,{}
1977,New York,USA,{},2006-04-24,Tania,2006,74794,Renew Media,Blanich,{},Ms.,{},10012-5801,2006-04-24,NY,Associate Director
1978,Kansas City,{},{},1900-01-01,Lurita,2015,83936,Walter P. Moore,Blank,McIntosh,Ms.,{},{},2015-07-23,MO,Senior Associate
1979,Hartford,USA,{},1900-01-01,Jody,2015,84304,Connecticut Historical Society,Blankenship,A,Mr.,{},06105,2015-09-24,CT,Executive Director
1980,Washington,USA,{},2011-04-13,Linda,2011,79416,National Park Service,Blaser,A.,Ms.,{},20240-0001,2011-04-13,DC,Associate Manager of Museum Conservation Services
1981,{},{},{},2003-01-22,Regina,2003,69811,Unaffiliated Independent Scholar,Blaszczyk,Lee,Dr.,{},{},2003-01-22,{},{}
1982,Batesville,USA,{},1990-01-12,Jo,1990,8406,Old Independence Regional Museum,Blatti,{},Ms.,{},72501-5703,1990-01-11,AR,{}
1983,Batesville,USA,{},2006-02-07,Jo,2006,74620,Old Independence Regional Museum,Blatti,{},Ms.,{},72501-5703,2006-02-07,AR,{}
1984,Toledo,USA,Department of Philosophy,1990-05-23,Charles,1990,7629,University of Toledo,Blatz,V.,Mr.,{},43606-3390,1990-05-23,OH,Assoc. Prof. and Dept. Chair
1985,Toledo,USA,Department of Philosophy,1999-04-23,Charles,1999,1182,University of Toledo,Blatz,V.,Mr.,{},43606-3390,1999-04-22,OH,Assoc. Prof. and Dept. Chair
1986,New York,USA,{},1989-08-21,Herbert,1989,2700,New York University,Blau,{},Prof.,{},10012-1019,1989-08-21,NY,{}
1987,Tallahassee,USA,{},2002-12-24,Rafe,2003,66797,Florida State University,Blaufarb,{},{},{},32306-0001,2002-10-15,FL,{}
1988,Tallahassee,USA,{},2003-12-12,Rafe,2004,70409,Florida State University,Blaufarb,{},{},{},32306-0001,2003-10-27,FL,{}
1989,New York,USA,Fine Arts,1993-07-30,Annette,1993,8646,National Academy of Design,Blaugrund,{},Dr.,{},10128-0114,1993-07-29,NY,Director
1990,{},{},{},1992-06-30,Rosalie,1992,1824,{},Blaul,M.,Ms.,{},{},1992-06-30,{},{}
1991,Milledgeville,USA,Department of English and Rhetoric,2011-11-30,Alex,2012,80247,Georgia College and State University,Blazer,E.,Dr.,{},31061-3375,2011-11-30,GA,Assistant Professor
1992,Oberlin,USA,Department of Politics,2001-07-31,Marc,2001,2473,Oberlin College,Blecher,J.,Prof.,{},44074-1099,2001-07-31,OH,Professor of Politics
1993,Oberlin,USA,Department of Politics,2002-12-24,Marc,2003,66920,Oberlin College,Blecher,J.,Prof.,{},44074-1099,2002-10-15,OH,Professor of Politics
1994,Oberlin,USA,Department of Politics,2003-12-12,Marc,2004,70524,Oberlin College,Blecher,J.,Prof.,{},44074-1099,2003-10-27,OH,Professor of Politics
1995,Oberlin,USA,Department of Politics,2006-11-20,Marc,2007,75209,Oberlin College,Blecher,J.,Prof.,{},44074-1099,2006-10-20,OH,Professor of Politics
1996,El Paso,USA,Department of English,1990-05-16,Robert,1990,58981,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,1990-05-16,TX,Professor
1997,El Paso,USA,Department of English,1993-04-26,Robert,1993,10048,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,1993-04-26,TX,Professor
1998,El Paso,USA,Department of English,1994-02-14,Robert,1994,50464,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,1994-02-14,TX,Professor
1999,El Paso,USA,Department of English,2000-05-09,Robert,2000,622,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,2000-05-08,TX,Professor
2000,El Paso,USA,Department of English,2004-02-03,Robert,2004,72408,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,2004-02-03,TX,Professor
2001,El Paso,USA,Department of English,2007-04-23,Robert,2007,75630,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,2007-04-23,TX,Professor
2002,El Paso,USA,Department of English,2008-07-16,Robert,2008,76629,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,2008-07-16,TX,Professor
2003,El Paso,USA,Department of English,2010-04-29,Robert,2010,78395,"University of Texas, El Paso",Bledsoe,Terrell,Prof.,{},79968-8900,2010-04-29,TX,Professor
2004,Chicago,USA,{},1991-03-31,Burton,1991,4842,University of Illinois at Chicago,Bledstein,J.,Dr.,{},60607-3320,1991-02-05,IL,Assc. Prof. of History
2005,Chicago,USA,{},1992-03-31,Burton,1992,4943,University of Illinois at Chicago,Bledstein,J.,Dr.,{},60607-3320,1992-02-03,IL,Assc. Prof. of History
2006,{},{},{},2002-12-24,Kathleen,2003,66917,Unaffiliated Independent Scholar,Blee,M.,Dr.,{},{},2002-10-15,{},{}
2007,{},{},{},2003-12-12,Kathleen,2004,70521,Unaffiliated Independent Scholar,Blee,M.,Dr.,{},{},2003-10-27,{},{}
2008,Winston-Salem,USA,Department of History,1900-01-01,Lisa,0,85938,Wake Forest University,Blee,{},{},{},27109-6000,1900-01-01,NC,Associate Professor
2009,Madison,USA,{},2012-10-04,Matthew,2013,81010,Wisconsin Historical Society,Blessing,{},Mr.,{},53706-1482,2012-10-04,WI,State Archivist and Administrator for the Library-Archives
2010,Cambridge,USA,History of Art and Architecture Department,1995-03-17,Suzanne,1995,4560,Harvard University,Blier,P.,Prof.,{},02138-3800,1995-03-16,MA,Allen Whitehill Clowes Professor of Fine Arts & Professor of African and African American Studies
2011,New York,USA,{},2008-07-10,Adam,2008,76722,Society for Classical Studies,Blistein,D.,Dr.,{},10003,2008-07-10,NY,Executive Director
2012,Newark,USA,University Honors Program,1988-11-21,Jan,1989,1332,University of Delaware,Blits,H.,Dr.,{},19716-0099,1988-11-21,DE,University Honors Program
2013,Newark,USA,University Honors Program,1991-02-01,Jan,1991,104,University of Delaware,Blits,H.,Dr.,{},19716-0099,1991-02-01,DE,University Honors Program
2014,Newark,USA,University Honors Program,1993-01-30,Jan,1993,4337,University of Delaware,Blits,H.,Dr.,{},19716-0099,1992-12-02,DE,University Honors Program
2015,Newark,USA,University Honors Program,1995-01-17,Jan,1995,4541,University of Delaware,Blits,H.,Dr.,{},19716-0099,1995-01-17,DE,University Honors Program
2016,Omaha,USA,Department of Philosophy and Religion,2005-04-15,William,2005,73690,"University of Nebraska, Omaha",Blizek,L.,{},{},68182-0001,2005-04-15,NE,Professor of Philosophy and Religion
2017,Omaha,USA,Department of Philosophy and Religion,2008-10-31,William,2009,76851,"University of Nebraska, Omaha",Blizek,L.,{},{},68182-0001,2008-10-31,NE,Professor of Philosophy and Religion
2018,Los Angeles,USA,{},1997-12-11,Ruth,1998,66180,"University of California, Los Angeles",Bloch,H.,Prof.,{},90095-9000,1997-12-11,CA,Department of History
2019,New York,USA,{},1990-08-17,Adrienne,1990,2729,CUNY Research Foundation,Block,Fried,Dr.,{},10036-8901,1990-08-17,NY,Director
2020,New York,USA,{},1991-08-16,Adrienne,1991,2814,CUNY Research Foundation,Block,Fried,Dr.,{},10036-8901,1991-08-16,NY,Director
2021,New York,USA,{},2003-07-17,Adrienne,2003,70198,CUNY Research Foundation,Block,Fried,Dr.,{},10036-8901,2003-07-17,NY,Director
2022,Tuscaloosa,USA,{},2004-10-15,David,2005,73346,University of Alabama,Block,{},Mr.,{},35487-0001,2004-10-15,AL,{}
2023,Tuscaloosa,USA,{},2008-12-09,David,2009,77078,University of Alabama,Block,{},Mr.,{},35487-0001,2008-12-09,AL,{}
2024,Tacoma,USA,School of Music,1900-01-01,Geoffrey,0,86169,University of Puget Sound,Block,H.,Prof.,{},98416-5000,1900-01-01,WA,Distinguished Professor of Music History
2025,Tacoma,USA,School of Music,1993-08-17,Geoffrey,1993,3861,University of Puget Sound,Block,H.,Prof.,{},98416-5000,1993-08-17,WA,Distinguished Professor of Music History
2026,Tacoma,USA,School of Music,1994-07-25,Geoffrey,1994,3932,University of Puget Sound,Block,H.,Prof.,{},98416-5000,1994-07-25,WA,Distinguished Professor of Music History
2027,Jupiter,USA,Department of History,2012-12-17,Kristen,2013,81222,"Florida Atlantic University, John D. MacArthur Campus",Block,{},Dr.,{},33458-2906,2012-11-30,FL,Assistant Professor
2028,Cambridge,USA,{},2009-11-30,Ned,2010,77928,Massachusetts Institute of Technology,Block,J.,Prof.,{},02139-4307,2009-10-31,MA,{}
2029,Sterling,{},{},1900-01-01,Beverly,0,86245,Northern Virginia Community College,Blois,{},Dr.,{},20164-8699,1900-01-01,VA,Dean of Humanities Emeritus
2030,Sterling,{},{},2011-04-28,Beverly,2011,79476,Northern Virginia Community College,Blois,{},Dr.,{},20164-8699,2011-04-28,VA,Dean of Humanities Emeritus
2031,Sterling,{},{},2012-09-24,Beverly,2012,80997,Northern Virginia Community College,Blois,{},Dr.,{},20164-8699,2012-09-24,VA,Dean of Humanities Emeritus
2032,Sterling,{},{},2013-04-23,Beverly,2013,81568,Northern Virginia Community College,Blois,{},Dr.,{},20164-8699,2013-04-23,VA,Dean of Humanities Emeritus
2033,Denver,USA,{},2000-10-27,Nancy,2001,17662,Denver Art Museum,Blomberg,J.,Ms.,{},80204-2788,2000-10-27,CO,Curator of Native Arts
2034,Seattle,USA,Department of Classics,1999-12-15,Ruby,2000,6106,University of Washington,Blondell,{},Prof.,{},98105-6613,1999-11-15,WA,Assoc. Professor of Classics
2035,Claremont,USA,{},1988-12-02,Alfred,1989,6474,Pitzer College,Bloom,{},Prof.,{},91711-6101,1988-12-02,CA,Prof. of Psychology & Lings.
2036,Claremont,USA,{},1990-08-16,Alfred,1990,3579,Pitzer College,Bloom,{},Prof.,{},91711-6101,1990-08-16,CA,Prof. of Psychology & Lings.
2037,Cambridge,USA,Department of Environmental Studies,1992-08-20,Lynn,1992,3718,Harvard University,Bloom,Z.,Dr.,{},02138-3800,1992-08-20,MA,{}
2038,Philadelphia,USA,{},1993-07-09,Margo,1993,8624,National Museum of American Jewish History,Bloom,{},{},{},19106-2197,1993-07-08,PA,Director
2039,Philadelphia,USA,{},1996-01-08,Margo,1996,10212,National Museum of American Jewish History,Bloom,{},{},{},19106-2197,1996-01-08,PA,Director
2040,Riverside,USA,{},2009-07-28,Michelle,2009,77502,"University of California, Riverside",Bloom,E.,Dr.,{},92521-0001,2009-07-28,CA,{}
2041,Norwalk,USA,Department of Philosophy,1992-12-31,Edward,1993,5381,Cerritos College,Bloomfield,H.,Dr.,{},90650-6298,1992-10-31,CA,Professor of Philosophy
2042,Chicago,USA,{},1991-02-22,Marjorie,1991,24685,Center for Research Libraries,Bloss,{},Ms.,{},60637-2804,1991-02-22,IL,"Dir., Technical Servs. Div."
2043,Plattsburgh,USA,{},2010-08-10,Karen,2010,78557,"SUNY Research Foundation, College at Plattsburgh",Blough,Elisabeth,Dr.,{},12901-2637,2010-08-10,NY,{}
2044,Ann Arbor,USA,Department of History,1992-07-21,Francis,1992,185,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,1992-07-21,MI,Professor of History
2045,Ann Arbor,USA,Department of History,1993-03-11,Francis,1993,36840,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,1993-03-11,MI,Professor of History
2046,Ann Arbor,USA,Department of History,1993-06-10,Francis,1993,36846,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,1993-06-10,MI,Professor of History
2047,Ann Arbor,USA,Department of History,2004-02-10,Francis,2004,72612,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,2004-02-10,MI,Professor of History
2048,Ann Arbor,USA,Department of History,2012-04-10,Francis,2012,80514,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,2012-04-10,MI,Professor of History
2049,Ann Arbor,USA,Department of History,2013-10-30,Francis,2014,82052,"University of Michigan, Ann Arbor",Blouin,X.,Prof.,{},48109-1382,2013-10-30,MI,Professor of History
2050,Williamstown,USA,Department of Music,2005-08-04,M. Jennifer,2005,73945,Williams College,Bloxam,{},Dr.,{},01267-2600,2005-08-04,MA,Herbert H. Lehman Professor of Music
2051,Williamstown,USA,Department of Music,1900-01-01,M. Jennifer,2015,83900,Williams College,Bloxam,{},Dr.,{},01267-2600,2015-07-27,MA,Herbert H. Lehman Professor of Music
2052,Houston,USA,AFrican American Studies,2008-06-02,Carroll,2008,76518,University of Houston,Blue,{},Prof.,{},77204-0001,2008-06-02,TX,Visiting Professor
2053,Columbus,USA,{},1990-10-19,Carol,1991,7994,Ohio Dominican College,Blum,J.,Ms.,{},43219-2099,1990-10-18,OH,Dir. of Graduate & Spe. Prog
2054,Stony Brook,USA,Dept. of Romance Languages,1993-05-04,Carol,1993,5968,"SUNY Research Foundation, Stony Brook",Blum,{},Prof.,{},11794-0001,1993-05-04,NY,{}
2055,Merrimack,USA,Humanities,2009-11-30,Christopher,2010,78049,Thomas More College of Liberal Arts,Blum,Olaf,Dr.,{},03054-4855,2009-10-31,NH,Academic Dean
2056,University Park,USA,Department of English,2005-11-30,Hester,2006,74245,"Pennsylvania State University, Main Campus",Blum,{},Dr.,{},16802-7000,2005-10-31,PA,Associate Professor of English
2057,Notre Dame,USA,{},2004-07-26,Susan,2004,72949,University of Notre Dame,Blum,D.,Dr.,{},46556-4635,2004-07-26,IN,{}
2058,New York,USA,{},1995-08-17,Renate,1995,3125,Columbia University,Blumenfeld-Kosinski,{},Dr.,{},10027-7922,1995-08-17,NY,{}
2059,Santa Barbara,USA,Department of History,2008-08-18,Debra,2008,76551,"University of California, Santa Barbara",Blumenthal,{},Dr.,{},93106-0001,2008-08-18,CA,Associate Professor
2060,New York,USA,{},2003-01-08,Ronald,2003,69719,"Middlemarch Films, Inc.",Blumer,{},{},{},10011-3203,2003-01-08,NY,Writer/Producer
2061,New York,USA,{},2009-04-03,Ronald,2009,77234,"Middlemarch Films, Inc.",Blumer,{},{},{},10011-3203,2009-04-03,NY,Writer/Producer
2062,Wheaton,USA,Department of History,2004-07-22,Edith,2004,73044,Wheaton College,Blumhofer,L.,Dr.,{},60187-5593,2004-07-22,IL,Professor
2063,Washington,USA,Department of History,2013-09-09,Nemata,2013,81992,George Washington University,Blyden,A.,Dr.,{},20052-0001,2013-09-09,DC,Associate Professor of History and International Affairs
2064,Lincoln,USA,{},1999-04-23,Frank,1999,9864,Native American Public Broadcasting Consortium,Blythe,{},Mr.,{},68501-3111,1999-04-23,NE,{}
2065,Berkeley,USA,"Preservation Department, Doe Library",2004-07-02,Gillian,2004,73071,"University of California, Berkeley",Boal,C.,Ms.,{},94704-5940,2004-07-02,CA,Special Collections Conservator
2066,Cooperstown,USA,{},2011-04-14,Kathryn,2011,79466,Cherry Valley Group,Boardman,Ann,{},{},13325,2011-04-14,NY,Founder and Principal
2067,New York,USA,{},1989-06-01,Phyllis,1989,50500,"College Art Association of America, Inc.",Bober,P.,Prof.,{},10022-5306,1989-06-01,NY,{}
2068,New York,USA,{},1991-01-29,Phyllis,1991,98,"College Art Association of America, Inc.",Bober,P.,Prof.,{},10022-5306,1991-01-29,NY,{}
2069,New York,USA,{},1991-04-14,Phyllis,1991,5884,"College Art Association of America, Inc.",Bober,P.,Prof.,{},10022-5306,1991-04-14,NY,{}
2070,New York,USA,{},1993-01-30,Phyllis,1993,4320,"College Art Association of America, Inc.",Bober,P.,Prof.,{},10022-5306,1992-12-02,NY,{}
2071,New York,USA,{},1993-07-16,Phyllis,1993,2939,"College Art Association of America, Inc.",Bober,P.,Prof.,{},10022-5306,1993-07-16,NY,{}
2072,Stanford,USA,{},1996-12-15,Chris,1997,7344,Stanford University,Bobonich,{},Prof.,{},94305-2004,1996-11-15,CA,Department of Philosophy
2073,Arlington,USA,Biology Department,1996-05-15,Donald,1996,859,Arlington High School,Bockler,{},{},{},02476-4799,1996-05-15,MA,{}
2074,Fairfax,USA,Department of Sociology,2009-08-14,Johanna,2009,77654,George Mason University,Bockman,{},Dr.,{},22030-4444,2009-08-14,VA,Associate Professor of Sociology
2075,Fairfax,USA,Department of Sociology,2014-07-25,Johanna,2014,82699,George Mason University,Bockman,{},Dr.,{},22030-4444,2014-07-25,VA,Associate Professor of Sociology
2076,Milwaukee,USA,{},1991-08-14,Mary-Catherine,1991,2811,Marquette University,Bodden,A.,Dr.,{},53233-2225,1991-08-14,WI,Assistant Professor
2077,Charleston,USA,{},2014-04-23,Richard,2014,82580,College of Charleston,Bodek,H.,Prof.,{},29424-0001,2014-04-23,SC,{}
2078,Bloomington,USA,{},2005-07-21,David,2005,73823,"Indiana University, Bloomington",Bodenhamer,J.,Dr.,{},47405-7000,2005-07-21,IN,{}
2079,Bloomington,USA,{},2009-04-14,David,2009,77287,"Indiana University, Bloomington",Bodenhamer,J.,Dr.,{},47405-7000,2009-04-14,IN,{}
2080,Bloomington,USA,{},2013-12-10,David,2014,82197,"Indiana University, Bloomington",Bodenhamer,J.,Dr.,{},47405-7000,2013-12-10,IN,{}
2081,Chestnut Hill,USA,{},1989-04-27,Rosemarie,1989,9199,Boston College,Bodenheimer,{},Prof.,{},02467-3858,1989-04-26,MA,Department of English
2082,Pullman,USA,Department of Anthropology,2000-12-07,John,2001,59101,Washington State University,Bodley,{},Prof.,{},99164-0001,2000-12-07,WA,Professor
2083,Northfield,USA,Department of Asian Studies,2005-07-25,Richard,2005,73916,St. Olaf College,Bodman,{},Prof.,{},55057-1574,2005-07-25,MN,Associate Professor
2084,{},{},{},1994-10-28,John,1995,9629,{},Bodnar,Edward,Prof.,{},{},1994-10-27,{},{}
2085,Gambier,USA,Department of English,2010-07-14,Erika,2010,78540,Kenyon College,Boeckeler,{},Prof.,{},43022-5020,2010-07-14,OH,Assistant Professor
2086,Providence,USA,Department of Classics,2003-08-06,Deborah,2003,70248,Brown University,Boedeker,{},Prof.,{},02912-0001,2003-08-06,RI,Professor of Classics
2087,Providence,USA,Department of Classics,2006-02-08,Deborah,2006,74602,Brown University,Boedeker,{},Prof.,{},02912-0001,2006-02-08,RI,Professor of Classics
2088,Cody,USA,{},1997-10-17,Sarah Elizabeth,1998,18714,Buffalo Bill Historical Center,Boehme,{},{},{},82414,1997-10-17,WY,Whitney Gallery of Western Art
2089,Irvine,USA,Anthropology,2011-07-25,Tom,2011,79850,"University of California, Irvine",Boellstorff,{},Prof.,{},92617-3066,2011-07-25,CA,Professor
2090,Toledo,USA,Department of English,1992-08-25,John,1992,3739,University of Toledo,Boening,{},Prof.,{},43606-3390,1992-08-25,OH,Professor of English and Comparative Literature
2091,Toledo,USA,Department of English,1993-07-27,John,1993,3790,University of Toledo,Boening,{},Prof.,{},43606-3390,1993-07-27,OH,Professor of English and Comparative Literature
2092,Toledo,USA,Department of English,1994-07-27,John,1994,3881,University of Toledo,Boening,{},Prof.,{},43606-3390,1994-07-27,OH,Professor of English and Comparative Literature
2093,Toledo,USA,Department of English,1997-07-25,John,1997,4100,University of Toledo,Boening,{},Prof.,{},43606-3390,1997-07-25,OH,Professor of English and Comparative Literature
2094,Bloomington,USA,{},1991-08-20,Peter,1991,2787,"Indiana University, Bloomington",Boerner,{},Prof.,{},47405-7000,1991-08-20,IN,{}
2095,Bloomington,USA,{},1993-01-30,Peter,1993,4343,"Indiana University, Bloomington",Boerner,{},Prof.,{},47405-7000,1992-12-02,IN,{}
2096,Bloomington,USA,{},1994-06-07,Peter,1994,7744,"Indiana University, Bloomington",Boerner,{},Prof.,{},47405-7000,1994-06-07,IN,{}
2097,Bloomington,USA,{},1995-01-17,Peter,1995,4518,"Indiana University, Bloomington",Boerner,{},Prof.,{},47405-7000,1995-01-17,IN,{}
2098,{},{},{},1900-01-01,Foekje,0,86568,{},Boersma,{},{},{},{},1900-01-01,{},{}
2099,Chicago,USA,{},1992-08-25,Theodora,1992,3784,Northeastern Illinois University,Bofman,H.,Prof.,{},60625-4699,1992-08-25,IL,Full Professor
2100,{},{},{},1989-07-24,Ralph,1989,1661,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1989-06-30,{},{}
2101,{},{},{},1990-07-06,Ralph,1990,1716,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1990-05-28,{},{}
2102,{},{},{},1991-07-08,Ralph,1991,1774,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1991-05-31,{},{}
2103,{},{},{},1992-09-18,Ralph,1992,24758,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1992-09-18,{},{}
2104,{},{},{},1994-02-14,Ralph,1994,50461,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1994-02-14,{},{}
2105,{},{},{},1994-08-31,Ralph,1994,1902,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},1994-08-31,{},{}
2106,{},{},{},2000-05-01,Ralph,2000,5791,Unaffiliated Independent Scholar,Bogardus,F.,Dr.,{},{},2000-05-01,{},{}
2107,Stony Brook,USA,{},1994-01-21,Michele,1994,8657,"SUNY Research Foundation, Stony Brook",Bogart,Helene,Ms.,{},11794-0001,1994-01-20,NY,Professor of Art History
2108,Stony Brook,USA,{},1996-08-07,Michele,1996,4025,"SUNY Research Foundation, Stony Brook",Bogart,Helene,Ms.,{},11794-0001,1996-08-07,NY,Professor of Art History
2109,Stony Brook,USA,{},2010-11-30,Michele,2011,79056,"SUNY Research Foundation, Stony Brook",Bogart,Helene,Ms.,{},11794-0001,2010-11-30,NY,Professor of Art History
2110,Manhattan,USA,{},1991-12-31,Mickey,1992,5317,Manhattan High School,Bogart,{},Mrs.,{},66502,1991-11-21,NY,Department Chair-Social Studie
2111,Washington,USA,{},1994-09-09,Enid,1994,1897,Howard University,Bogle,E.,Dr.,{},20059-0001,1994-09-09,DC,"Dir., Expository Writing Prog."
2112,Atlanta,USA,"School of Literature, Communication, and Culture",2010-01-08,Ian,2010,78175,"Georgia Institute of Technology, Atlanta",Bogost,{},Dr.,{},30332-0001,2009-12-01,GA,Associate Professor
2113,Philadelphia,USA,{},2014-09-04,Ian,2014,82967,Trustees of the University of Pennsylvania,Bogus,{},{},{},19104-6205,2014-09-04,PA,MacDonald Curator of Preservation
2114,Jacksonville,USA,{},1989-04-15,Phillip,1989,4597,MacMurray College,Bohlman,V.,Dr.,{},62650-2590,1989-02-10,IL,{}
2115,St. Louis,USA,Department of Philosophy,1990-08-13,James,1990,2746,St. Louis University,Bohman,F.,Prof.,{},63103-2097,1990-08-13,MO,Professor
2116,St. Louis,USA,Department of Philosophy,1994-12-07,James,1995,7152,St. Louis University,Bohman,F.,Prof.,{},63103-2097,1994-12-07,MO,Professor
2117,St. Louis,USA,Department of Philosophy,1996-12-15,James,1997,7346,St. Louis University,Bohman,F.,Prof.,{},63103-2097,1996-11-15,MO,Professor
2118,St. Louis,USA,Department of Philosophy,1997-12-19,James,1998,7456,St. Louis University,Bohman,F.,Prof.,{},63103-2097,1997-11-17,MO,Professor
2119,St. Louis,USA,Department of Philosophy,1998-12-18,James,1999,7552,St. Louis University,Bohman,F.,Prof.,{},63103-2097,1998-11-16,MO,Professor
2120,St. Louis,USA,Department of Philosophy,2002-07-26,James,2002,2563,St. Louis University,Bohman,F.,Prof.,{},63103-2097,2002-07-26,MO,Professor
2121,St. Louis,USA,Department of Philosophy,2003-08-08,James,2003,70170,St. Louis University,Bohman,F.,Prof.,{},63103-2097,2003-08-08,MO,Professor
2122,St. Louis,USA,Department of Philosophy,2004-11-30,James,2005,73211,St. Louis University,Bohman,F.,Prof.,{},63103-2097,2004-10-31,MO,Professor
2123,St. Louis,USA,Department of Philosophy,2006-11-20,James,2007,75196,St. Louis University,Bohman,F.,Prof.,{},63103-2097,2006-10-20,MO,Professor
2124,St. Louis,USA,Department of Philosophy,2007-11-30,James,2008,76097,St. Louis University,Bohman,F.,Prof.,{},63103-2097,2007-10-31,MO,Professor
2125,Princeton,USA,School of Historical Studies,2011-08-01,Yve-Alain,2011,79719,Institute for Advanced Study,Bois,H.,Prof.,{},08540-4907,2011-08-01,NJ,Professor
2126,Hamden,USA,{},1990-10-19,Lucien,1991,1234,Hamden High School,Boisvert,R.,Mr.,{},06518,1990-10-19,CT,French Department
2127,Hamden,USA,{},1991-04-24,Lucien,1991,1239,Hamden High School,Boisvert,R.,Mr.,{},06518,1991-04-24,CT,French Department
2128,Hamden,USA,{},1992-04-29,Lucien,1992,1269,Hamden High School,Boisvert,R.,Mr.,{},06518,1992-04-29,CT,French Department
2129,Baltimore,USA,{},2013-04-03,Hilary,2013,81442,Johns Hopkins University,Bok,{},Dr.,{},21218-2608,2013-04-03,MD,{}
2130,Bloomington,USA,{},1991-10-21,Steven,1992,43136,"Indiana University, Bloomington",Bokenkamp,R.,Prof.,{},47405-7000,1991-10-21,IN,Assistant Professor
2131,Santa Fe,USA,{},1990-01-23,Marsha,1990,8424,International Folk Art Foundation,Bol,C.,Dr.,{},87504-2087,1990-01-22,NM,{}
2132,Santa Fe,USA,{},1992-07-17,Marsha,1992,8577,International Folk Art Foundation,Bol,C.,Dr.,{},87504-2087,1992-07-16,NM,{}
2133,Santa Fe,USA,{},2004-07-20,Marsha,2004,73131,International Folk Art Foundation,Bol,C.,Dr.,{},87504-2087,2004-07-20,NM,{}
2134,Santa Fe,USA,{},2014-07-24,Marsha,2014,82886,International Folk Art Foundation,Bol,C.,Dr.,{},87504-2087,2014-07-24,NM,{}
2135,New York,USA,{},1990-02-06,Gerald,1990,8431,"CUNY Research Foundation, Graduate School and University Center",Bolas,D.,Mr.,{},10016-4309,1990-02-05,NY,{}
2136,New York,USA,{},1995-08-04,Gerald,1995,8773,"CUNY Research Foundation, Graduate School and University Center",Bolas,D.,Mr.,{},10016-4309,1995-08-03,NY,{}
2137,New York,USA,{},2006-04-10,Gerald,2006,74723,"CUNY Research Foundation, Graduate School and University Center",Bolas,D.,Mr.,{},10016-4309,2006-04-10,NY,{}
2138,Mount Pleasant,USA,Department of Academic Affairs,1992-09-21,Frank,1992,24754,Central Michigan University,Boles,{},Dr.,{},48859-0001,1992-09-21,MI,{}
2139,Mount Pleasant,USA,Department of Academic Affairs,2007-03-01,Frank,2007,75534,Central Michigan University,Boles,{},Dr.,{},48859-0001,2007-03-01,MI,{}
2140,Houston,USA,{},1994-05-23,John,1994,50602,Rice University,Boles,B.,Prof.,{},77005-1827,1994-05-23,TX,Professor
2141,Baltimore,USA,{},1991-07-19,Doreen,1991,8526,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,1991-07-18,MD,Director
2142,Baltimore,USA,{},1993-06-28,Doreen,1993,494,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,1993-06-28,MD,Director
2143,Baltimore,USA,{},1995-07-14,Doreen,1995,308,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,1995-07-14,MD,Director
2144,Baltimore,USA,{},1997-07-14,Doreen,1997,364,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,1997-07-14,MD,Director
2145,Baltimore,USA,{},2002-04-12,Doreen,2002,8307,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,2002-04-12,MD,Director
2146,Baltimore,USA,{},2003-07-08,Doreen,2003,70124,Baltimore Museum of Art,Bolger,{},Dr.,{},21218-3898,2003-07-08,MD,Director
